id,original_title,cast,director,tagline,keywords,overview,genres,production_companies
19599,Book of Blood,Jonas Armstrong|Sophie Ward|Clive Russell|Paul Blair|Doug Bradley,John Harrison,The dead will not be silenced.,last judgment|afterlife|paranormal|barker,"Based on the wraparound story penned by Clive Barker in the author's ""Books of Blood"" collection, the story centers on a paranormal expert who, while investigating a gruesome slaying, finds a house that is at the intersection of ""highways"" transporting souls to the afterlife.",Horror|Drama|Mystery|Thriller,Scottish Screen|Matador Pictures|uFilm|Regent Capital|Entertainment Motion Pictures
28238,Hamlet,David Tennant|Patrick Stewart|Penny Downie|Oliver Ford Davies|Mariah Gale,Gregory Doran,"To be, or not to be?",shakespeare adaptation|based on play,"David Tennant stars in a film of the Royal Shakespeare Company's award-winning production of Shakespeare's great play. Director Gregory Doran's modern-dress production was hailed by the critics as thrilling, fast-moving and, in parts, very funny.",Drama,NHK Enterprises|Illuminations|BBC Wales
44750,The Winning Season,Sam Rockwell|Emma Roberts|Shareeka Epps|Emily Rios|Rooney Mara,Jim Strouse,It took a bunch of girls to make him man up.,alcohol|restaurant|immigrant|bus ride|bicycle,A comedy centered on a has-been coach who is given a shot at redemption when he's asked to run his local high school's girls basketball team,Comedy|Drama,Gigi Productions|Sneaky Pete Productions
46641,Today's Special,Aasif Mandvi|Jess Weixler|Naseeruddin Shah|Aarti Mann|Dean Winters,David Kaplan,Life Has No Recipe,indian food|queens new york city|business card|muslim american,"In this super-feel-good foodie comedy, young Manhattan chef Samir rediscovers his heritage and his passion for life through the enchanting art of cooking Indian food.",Comedy|Romance,Inimitable Pictures|Sweet180
19238,Table for Three,Jesse Bradford|Sophia Bush|Brandon Routh|Jennifer Morrison,Michael Samonek,Never trust a perfect couple.,roommate|romantic comedy|independent film|roommate relationship,"A suddenly single guy invites what he thinks is a perfect couple to move into his apartment, only to discover they quickly insert themselves into all aspects of his life.",Comedy|Romance,Starz Media
31981,Jim Jefferies: I Swear to God,Jim Jefferies,John Moffitt,Heaven Help Us,stand-up|stand up comedy,"Jim Jefferies: I Swear to God: The easily offended might do best to avoid Jim Jefferiesâ€™ raunchy, rude humor (or at least imbibe the two-drink minimum beforehand), but the Australian-born comedian provides plenty of laughs for everyone else in this HBO special. In I Swear to God, Jefferies continues his patented brand of comedy that once got him punched by an audience member, discussing the idiocy of no-smoking signs, sluts vs. studs, and his fatherâ€™s Holocaust jokes.",Comedy,HBO
27205,Inception,Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page|Tom Hardy|Ken Watanabe,Christopher Nolan,Your mind is the scene of the crime.,loss of lover|dream|sleep|subconsciousness|heist,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Action|Thriller|Science Fiction|Mystery|Adventure,Legendary Pictures|Warner Bros.|Syncopy
10138,Iron Man 2,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle|Scarlett Johansson|Mickey Rourke,Jon Favreau,"It's not the armor that makes the hero, but the man inside.",malibu|marvel comic|comic|superhero|revenge,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press, and the public to share his technology with the military. Unwilling to let go of his invention, Stark, along with Pepper Potts, and James ""Rhodey"" Rhodes at his side, must forge new alliances - and confront powerful enemies.",Adventure|Action|Science Fiction,Marvel Studios
12155,Alice in Wonderland,Mia Wasikowska|Johnny Depp|Anne Hathaway|Helena Bonham Carter|Crispin Glover,Tim Burton,You're invited to a very important date.,based on novel|fictional place|queen|alice in wonderland|fantastic,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason â€“ to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",Family|Fantasy|Adventure,"Walt Disney Pictures|Team Todd|Tim Burton Productions|Roth Films|Zanuck Company, The"
44214,Black Swan,Natalie Portman|Mila Kunis|Vincent Cassel|Barbara Hershey|Winona Ryder,Darren Aronofsky,"In the era of personal branding, the scariest possibility is that someone might be better at being you than you are.",competition|taxi|dancer|obsession|paranoia,"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.",Drama|Mystery|Thriller,Fox Searchlight Pictures|Dune Entertainment|Protozoa Pictures|Cross Creek Pictures
